,NDC-SEM,SEM-UCB,FTRL,CUCB,Random,CTS,CUCB-SW
4202,-1.0,0.0,0.0,0.5795975452591109,0.16217246160865106,0.5795975452591109,2.9858703201954517
4203,0.0,0.0,1.0000000000000004,3.0919595809133202,0.5123620356542093,3.0919595809133202,2.9858703201954517
4204,0.0,0.0,1.0,2.579597545259111,1.579597545259111,2.579597545259111,2.9858703201954517
4205,0.0,0.0,5.468314480309656,8.560274061222977,7.047912025568768,8.560274061222977,2.9858703201954517
4206,-1.0,0.0,-2.0,-0.4876379643457911,0.5123620356542089,-0.4876379643457911,2.9858703201954517
4207,0.0,0.0,5.468314480309656,8.560274061222977,4.980676515963866,8.560274061222977,2.936248940499627
4208,0.0,0.0,1.0,2.579597545259111,2.579597545259111,2.579597545259111,2.3296898382469236
4209,0.0,0.0,1.0000000000000004,4.09195958091332,2.0919595809133202,4.09195958091332,1.689442287383538
4210,1.0,0.0,0.0,1.512362035654209,2.512362035654209,1.512362035654209,2.936248940499627
4211,0.0,0.0,1.0,2.512362035654209,1.512362035654209,2.512362035654209,1.689442287383538
4212,0.0,0.0,1.0000000000000004,4.09195958091332,-1.0,4.09195958091332,0.48155008162773383
4213,0.0,0.0,-1.0,1.0919595809133202,2.0919595809133202,0.09195958091332024,1.689442287383538
4214,0.0,0.0,4.468314480309656,5.560274061222977,6.560274061222977,5.560274061222977,2.9146804642224224
4215,0.0,0.0,4.468314480309656,6.560274061222977,6.560274061222977,6.560274061222977,1.7779781144396476
4216,-1.0000000000000004,0.0,0.0,3.09195958091332,0.5123620356542089,3.09195958091332,2.308121361969719
4217,0.0,0.0,1.0000000000000004,4.09195958091332,0.0,4.09195958091332,2.936248940499627
4218,0.0,0.0,1.0000000000000004,4.09195958091332,1.5123620356542093,4.09195958091332,3.1451004452457125
4219,-1.0000000000000018,0.0,3.4683144803096546,6.560274061222975,-1.4174250836504587,6.560274061222975,2.4546988588718923
4220,0.0,0.0,1.0,2.579597545259111,2.579597545259111,2.579597545259111,2.273900257544427
4221,0.0,0.0,1.0000000000000004,2.0919595809133202,1.5123620356542093,2.0919595809133202,2.9146804642224224
4222,1.0,0.0,5.468314480309656,7.047912025568767,1.1621724616086517,7.047912025568767,1.7779781144396476
4223,1.0,0.0,0.0,0.0,1.0,0.0,0.6904015863738193
4224,-1.0000000000000018,0.0,4.468314480309655,7.560274061222975,3.0919595809133193,7.560274061222975,0.6904015863738193
4225,0.0,0.0,1.0000000000000004,4.09195958091332,1.5795975452591113,4.09195958091332,1.667873811106333
4226,0.0,0.0,0.0,3.0919595809133202,1.5795975452591113,3.0919595809133202,1.7779781144396476
4227,0.0,0.0,1.0000000000000004,4.09195958091332,2.5123620356542093,4.09195958091332,2.273900257544427
4228,0.0,0.0,1.0,2.579597545259111,1.579597545259111,2.579597545259111,2.308121361969719
4229,0.0,0.0,0.0,3.0919595809133202,0.0949369520037493,3.0919595809133202,2.9858703201954517
4230,0.0,0.0,0.0,3.0919595809133202,3.0919595809133202,3.0919595809133202,2.936248940499627
4231,0.0,0.0,1.0000000000000004,4.09195958091332,3.0919595809133202,4.09195958091332,1.667873811106333
4232,0.0,0.0,1.0,1.579597545259111,0.0,1.579597545259111,1.667873811106333
4233,0.0,0.0,5.468314480309656,7.047912025568767,4.468314480309656,7.047912025568767,3.1451004452457125
4234,1.0000000000000004,0.0,1.0000000000000004,4.09195958091332,3.0919595809133202,4.09195958091332,3.1451004452457125
4235,0.0,0.0,1.0000000000000004,3.0919595809133202,2.0919595809133202,3.0919595809133202,2.0083980954629377
4236,0.0,0.0,0.0,3.0919595809133202,-0.42040245474088866,3.0919595809133202,3.0615789590907463
4237,1.0000000000000018,0.0,5.468314480309656,8.560274061222977,5.980676515963866,8.560274061222977,1.765150926278832
4238,-1.0000000000000004,0.0,0.0,3.09195958091332,1.579597545259111,3.09195958091332,1.8752552296121467
4239,0.0,0.0,0.0,3.0919595809133202,2.0919595809133202,3.0919595809133202,3.0119575793949216
4240,1.0000000000000004,0.0,1.0000000000000004,4.09195958091332,4.09195958091332,4.09195958091332,2.299987516743897
4241,0.0,0.0,-1.0,1.0919595809133202,0.5123620356542093,1.0919595809133202,2.9903891031177166
4242,0.0,0.0,0.0,3.0919595809133202,1.5795975452591113,3.0919595809133202,2.371177372716926
4243,-1.0,0.0,0.0,1.579597545259111,0.5795975452591109,1.579597545259111,1.765150926278832
4244,-1.0,0.0,0.0,1.579597545259111,0.0,1.579597545259111,1.765150926278832
4245,0.0,0.0,1.0000000000000004,4.09195958091332,1.5123620356542093,4.09195958091332,1.8752552296121467
4246,0.0,0.0,0.0,2.0919595809133202,0.5795975452591113,2.0919595809133202,3.0119575793949216
4247,0.0,0.0,1.0000000000000004,2.5795975452591113,1.5123620356542093,4.09195958091332,1.765150926278832
4248,0.0,0.0,1.0,0.5795975452591109,0.5795975452591109,0.5795975452591109,3.0119575793949216
4249,0.0,0.0,0.0,0.5795975452591113,2.0919595809133202,2.0919595809133202,2.371177372716926
4250,0.0,0.0,-1.0,1.579597545259111,0.0,0.5795975452591109,0.48155008162773383
4251,0.0,0.0,1.0000000000000004,1.5795975452591113,-1.4174250836504587,3.0919595809133202,1.1217976324911199
